Name,Link
"Joint Workshop on Long-Term Visual Localization, Visual Odometry and Geometric and Learning-based SLAM",https://sites.google.com/view/vislocslamcvpr2020/home
In Perfect Shape: Certifiably Optimal 3D Shape Reconstruction from 2D Landmarks,https://arxiv.org/pdf/1911.11924.pdf
SLAM中线特征的参数化和求导,https://zhuanlan.zhihu.com/p/65674067
SLAM中面特征的参数化,https://zhuanlan.zhihu.com/p/71924149
What can LARVIO do? ——单目视觉惯性里程计LARVIO介绍,https://zhuanlan.zhihu.com/p/142714515  
Accurate Monocular Visual-inertial SLAM using a Map-assisted EKF Approach,https://arxiv.org/pdf/1706.03648.pdf
"A Linear-Complexity EKF for Visual-Inertial Navigation with Loop Closures",https://ieeexplore.ieee.org/document/8793836
"Comparison of State Marginalization Techniques in Visual Inertial Navigation Filters",https://research.library.mun.ca/14086/1/thesis.pdf
"A Square Root Inverse Filter for Efficient Vision-aided Inertial Navigation on Mobile Devices",http://www.roboticsproceedings.org/rss11/p08.pdf
"MIT A 2020 Vision of Linear Algebra, Spring 2020",https://www.youtube.com/watch?v=azzrfdysfI0&list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek&index=2
"A Survey on Deep Learning for Localization and Mapping: Towards the Age of Spatial Machine Intelligence",https://128.84.21.199/pdf/2006.12567.pdf
Visual Inertial Odometry with Pentafocal Geometric Constraints,https://link.springer.com/content/pdf/10.1007/s12555-017-0200-5.pdf
Exploiting Feature Confidence for Forward Motion Estimation,https://arxiv.org/pdf/1704.07145.pdf
Parallax Bundle Adjustment on Manifold with Convexified Initialization,https://arxiv.org/pdf/1807.03556.pdf
Towards Observable Urban Visual SLAM,https://opus.lib.uts.edu.au/bitstream/10453/140553/2/02whole.pdf
VIO中的IMU数值积分与IMU预积分,https://zhuanlan.zhihu.com/p/107032156
"Monocular Visual Inertial Odometry on a Mobile Device",https://vision.in.tum.de/_media/spezial/bib/shelley14msc.pdf
"Visual-Inertial Odometry for Autonomous Ground Vehicles",https://www.diva-portal.org/smash/get/diva2:1155019/FULLTEXT01.pdf
"Monocular Visual-Inertial Odometry with an Unbiased Linear System Model and Robust Feature Tracking Front-End",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6515200/pdf/sensors-19-01941.pdf
Quaternion kinematics for the error-state Kalman filter,http://www.iri.upc.edu/people/jsola/JoanSola/objectes/notes/kinematics.pdf
ORB-SLAM3,https://arxiv.org/pdf/2007.11898.pdf
Direct Sparse Mapping,https://arxiv.org/abs/1904.06577
BDD100K: A Diverse Driving Dataset for Heterogeneous Multitask Learning,https://arxiv.org/pdf/1805.04687.pdf
Object-oriented SLAM using Quadrics and Symmetry Properties for Indoor Environments,https://arxiv.org/abs/2004.05303
"A Novel Feedback Mechanism-Based Stereo Visual-Inertial SLAM",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8863900
"Shonan Rotation Averaging: Global Optimality by Surfing SO(p)n",https://arxiv.org/pdf/2008.02737.pdf
"SDF-2-SDF: Highly Accurate 3D Object Reconstruction",http://campar.in.tum.de/pub/slavcheva2016eccv/slavcheva2016eccv.pdf
SMSCKF理论代码解析,https://mp.weixin.qq.com/s/w8aDGX14sD9fjM4-EffcOg
VIO from scratch ,https://zhuanlan.zhihu.com/vSLAM-document
An Efﬁcient Schmidt-EKF for 3D Visual-Inertial SLAM,http://openaccess.thecvf.com/content_CVPR_2019/papers/Geneva_An_Efficient_Schmidt-EKF_for_3D_Visual-Inertial_SLAM_CVPR_2019_paper.pdf
黄国权老师讲VIO,https://www.bilibili.com/video/BV1Nk4y127qX?p=11
ProSLAM: Graph SLAM from a Programmer’s Perspective,https://arxiv.org/pdf/1709.04377.pdf
Line Flow Based SLAM,https://arxiv.org/pdf/2009.09972.pdf
"EAO-SLAM: Monocular Semi-Dense Object SLAM Based on Ensemble Data Association",https://arxiv.org/pdf/2004.12730.pdf
Unscented Kalman Filter,https://www.haidynmcleod.com/unscented-kalman-filter
"Exactly Sparse Gaussian Variational Inference with Application to Derivative-Free Batch Nonlinear State Estimation",https://arxiv.org/pdf/1911.08333.pdf
